main_group_id,main_group,group,R,Q,smarts,smarts_chen,smarts_preferred,group_id
34,[C1],[C1],0.766,0.72,,[Cl-],[Cl-],66
35,[Br],[Br],0.9492,0.832,,[Br-],[Br-],67
36,[BF4],[BF4],1.7856,1.494,,[B-](-[F])(-[F])(-[F])-[F],[B-](-[F])(-[F])(-[F])-[F],68
37,[PF6],[PF6],7.0615,6.5787,,[P-](-[F])(-[F])(-[F])(-[F])(-[F])-[F],[P-](-[F])(-[F])(-[F])(-[F])(-[F])-[F],69
38,[OAc],[OAc],2.874,2.1762,,[C](=[O])(-[O-])-[C],[C](=[O])(-[O-])-[C],70
39,[C14H29Ac],[C14H29Ac],14.9138,8.8063,,[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C](-[O-])=[O],[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C](-[O-])=[O],71
40,[C16H33Ac],[C16H33Ac],16.6318,9.7629,,[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C](-[O-])=[O],[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C](-[O-])=[O],72
41,[TFA],[TFA],3.1773,3.22,,[C](-[C](-[O-])=[O])(-[F])(-[F])-[F],[C](-[C](-[O-])=[O])(-[F])(-[F])-[F],73
42,[NO3],[NO3],1.6611,1.5289,,[N+](-[O-])(=[O])-[O-],[N+](-[O-])(=[O])-[O-],74
43,[ClO4],[C1O4],3.0634,2.288,,[O-]-[Cl](~[O])(~[O])~[O],[O-]-[Cl](~[O])(~[O])~[O],75
44,[Lac],[Lac],4.083,2.8106,,[C]-[C](-[O])-[C](=[O])-[O-],[C]-[C](-[O])-[C](=[O])-[O-],76
45,[TOS],[TOS],5.4854,4.5884,,c1c(ccc(c1)-[S](-[O-])(=[O])=[O])-[C],c1c(ccc(c1)-[S](-[O-])(=[O])=[O])-[C],77
46,[HSO4],[HSO4],3.2285,2.371,,[S](=[O])(-[O])(=[O])-[O-],[S](=[O])(-[O])(=[O])-[O-],78
47,[CH3OC2H4SO4],[CH3OC2H4SO4],6.2767,4.0808,,[C]-[O]-[C]-[C]-[O]-[S](-[O-])(=[O])=[O],[C]-[O]-[C]-[C]-[O]-[S](-[O-])(=[O])=[O],79
48,[C2H5OC2H4SO4],[C2H5OC2H4SO4],7.0898,4.5689,,[C]-[C]-[O]-[C]-[C]-[O]-[S](-[O-])(=[O])=[O],[C]-[C]-[O]-[C]-[C]-[O]-[S](-[O-])(=[O])=[O],80
49,[MeSO4],[MeSO4],3.4832,3.728,,[S](=[O])(=[O])(-[O-])-[O]-[C],[S](=[O])(=[O])(-[O-])-[O]-[C],81
50,[EtSO4],[EtSO4],4.1576,4.176,,[S](=[O])(=[O])(-[O-])-[O]-[C]-[C],[S](=[O])(=[O])(-[O-])-[O]-[C]-[C],82
51,[OcSO4],[OcSO4],10.2174,6.1908,,[S](=[O])(=[O])(-[O-])-[O]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C],[S](=[O])(=[O])(-[O-])-[O]-[C]-[C]-[C]-[C]-[C]-[C]-[C]-[C],83
52,[MeSO3],[MeSO3],2.7126,2.3701,,[S](=[O])(=[O])(-[O-])-[C],[S](=[O])(=[O])(-[O-])-[C],84
53,[CF3SO3],[CF3SO3],3.4745,2.9796,,[S](=[O])(=[O])(-[C](-[F])(-[F])-[F])-[O-],[S](=[O])(=[O])(-[C](-[F])(-[F])-[F])-[O-],85
54,[C4F9SO3],[C4F9SO3],9.1716,5.0174,,[S](=[O])(=[O])(-[C](-[C](-[C](-[C](-[F])(-[F])-[F])(-[F])-[F])(-[F])-[F])(-[F])-[F])-[O-],[S](=[O])(=[O])(-[C](-[C](-[C](-[C](-[F])(-[F])-[F])(-[F])-[F])(-[F])-[F])(-[F])-[F])-[O-],86
55,[MeOEtOEtSO4,[MeOEtOEtSO4],6.6686,6.984,,[S](=[O])(=[O])(-[O-])-[O]-[C]-[C]-[O]-[C]-[C]-[O]-[C],[S](=[O])(=[O])(-[O-])-[O]-[C]-[C]-[O]-[C]-[C]-[O]-[C],87
56,[SCN],[SCN],1.9446,1.1752,,[S-]-[C]#[N],[S-]-[C]#[N],88
57,[N(CN)2],[N(CN)2],2.4171,2.1337,,[N-](-[C]#[N])-[C]#[N],[N-](-[C]#[N])-[C]#[N],89
58,[C(CN)3],[C(CN)3],3.3326,2.8661,,[C-](-[C]#[N])(-[C]#[N])-[C]#[N],[C-](-[C]#[N])(-[C]#[N])-[C]#[N],90
59,[B(CN)4],[B(CN)4],4.3314,3.6652,,[B-](-[C]#[N])(-[C]#[N])(-[C]#[N])-[C]#[N],[B-](-[C]#[N])(-[C]#[N])(-[C]#[N])-[C]#[N],91
60,[DMP],[DMP],3.4127,3.282,,[P](-[O]-[C])(-[O]-[C])(=[O])-[O-],[P](-[O]-[C])(-[O]-[C])(=[O])-[O-],92
61,[DEP],[DEP],6.93,4.4188,,[O-]-[P](=[O])(-[O]-[C]-[C])-[O]-[C]-[C],[O-]-[P](=[O])(-[O]-[C]-[C])-[O]-[C]-[C],93
62,[DBP],[DBP],10.4071,6.3169,,[O-]-[P](=[O])(-[O]-[C]-[C]-[C]-[C])-[O]-[C]-[C]-[C]-[C],[O-]-[P](=[O])(-[O]-[C]-[C]-[C]-[C])-[O]-[C]-[C]-[C]-[C],94
63,[Tf2N],[Tf2N],5.7738,4.932,,[S](=[O])(=[O])(-[C](-[F])(-[F])-[F])-[N-]-[S](=[O])(=[O])-[C](-[F])(-[F])-[F],[S](=[O])(=[O])(-[C](-[F])(-[F])-[F])-[N-]-[S](=[O])(=[O])-[C](-[F])(-[F])-[F],95
64,[FAP],[FAP],9.4117,7.7294,,[P-](-[C](-[C](-[F])(-[F])-[F])(-[F])-[F])(-[C](-[C](-[F])(-[F])-[F])(-[F])-[F])(-[C](-[C](-[F])(-[F])-[F])(-[F])-[F])(-[F])(-[F])-[F],[P-](-[C](-[C](-[F])(-[F])-[F])(-[F])-[F])(-[C](-[C](-[F])(-[F])-[F])(-[F])-[F])(-[C](-[C](-[F])(-[F])-[F])(-[F])-[F])(-[F])(-[F])-[F],96
65,[FSI],[FSI],5.4736,3.4898,,[N-](-[S](=[O])(=[O])-[F])-[S](=[O])(=[O])-[F],[N-](-[S](=[O])(=[O])-[F])-[S](=[O])(=[O])-[F],97
66,[BOB],[BOB],6.5659,4.1475,,[B-]-1-2(-[O]-[C](-[C](-[O]-1)=[O])=[O])-[O]-[C](-[C](-[O]-2)=[O])=[O],[B-]-1-2(-[O]-[C](-[C](-[O]-1)=[O])=[O])-[O]-[C](-[C](-[O]-2)=[O])=[O],98
67,[TDI],[TDI],7.3491,4.5894,,[F]-[C](-[F])(-[F])-c1nc(c([n-]1)-[C]#[N])-[C]#[N],[F]-[C](-[F])(-[F])-c1nc(c([n-]1)-[C]#[N])-[C]#[N],99
68,[NPF2],[NPF2],11.7416,6.1032,,[S](=[O])(=[O])(-[C](-[F])(-[C](-[F])(-[F])-[F])-[F])-[N-]-[S](=[O])(=[O])-[C](-[F])(-[C](-[F])(-[F])-[F])-[F],[S](=[O])(=[O])(-[C](-[F])(-[C](-[F])(-[F])-[F])-[F])-[N-]-[S](=[O])(=[O])-[C](-[F])(-[C](-[F])(-[F])-[F])-[F],100
69,[TMPP],[TMPP],16.3172,8.3828,,[C]-[C](-[C]-[C](-[C])(-[C])-[C])-[C]-[P](-[O-])(=[O])-[C]-[C](-[C])-[C]-[C](-[C])(-[C])-[C],[C]-[C](-[C]-[C](-[C])(-[C])-[C])-[C]-[P](-[O-])(=[O])-[C]-[C](-[C])-[C]-[C](-[C])(-[C])-[C],101
70,[CH3PO3H],[CH3PO3H],3.7084,2.6497,,[P](-[O-])(=[O])-[O]-[C],[P](-[O-])(=[O])-[O]-[C],102
71,[C2H5PO3H],[C2H5PO3H],4.5495,3.1441,,[P](-[O-])(=[O])-[O]-[C]-[C],[P](-[O-])(=[O])-[O]-[C]-[C],103
