ID,Name,SMILES
547,"CIS,TRANS-1,1,2,4-TETRAMETHYLCYCLOPENTANE",
549,"CIS,CIS-1,1,3,4-TETRAMETHYLCYCLOPENTANE",
550,"CIS,TRANS-1,1,3,4-TETRAMETHYLCYCLOPENTANE",
553,"CIS,CIS,CIS-1,2,3,4-TETRAMETHYLCYCLOPENTANE",
554,"CIS,CIS,TRANS-1,2,3,4-TETRAMETHYLCYCLOPENTANE",
555,"CIS,TRANS,CIS-1,2,3,4-TETRAMETHYLCYCLOPENTANE",
556,"CIS,TRANS,TRANS-1,2,3,4-TETRAMETHYLCYCLOPENTANE",
557,"TRANS,CIS,TRANS-1,2,3,4-TETRAMETHYLCYCLOPENTANE",
558,"TRANS,TRANS,CIS-1,2,3,4-TETRAMETHYLCYCLOPENTANE",
573,"TRANS,CIS-1,2,3-TRIMETHYLCYCLOHEXANE",
574,"CIS,CIS-1,2,4-TRIMETHYLCYCLOHEXANE",
575,"CIS,TRANS-1,2,4-TRIMETHYLCYCLOHEXANE",
577,"TRANS,TRANS-1,2,4-TRIMETHYLCYCLOHEXANE",
579,"CIS,TRANS-1,3,5-TRIMETHYLCYCLOHEXANE",
604,N-PENTADECYLCYCLOPENTANE,
605,N-TETRADECYLCYCLOHEXANE,
689,2-PROPYL-P-XYLENE,
690,3-PROPYL-O-XYLENE,
729,TRANS-2-PHENYL-2-BUTENE,
731,1-METHYL-2-(CIS-1'-N-PROPENYL)BENZENE,
732,1-METHYL-2-(TRANS-1'-N-PROPENYL)BENZENE,
733,1-METHYL-3-(CIS-1'-N-PROPENYL)BENZENE,
734,1-METHYL-3-(TRANS-1'-N-PROPENYL)BENZENE,
735,1-METHYL-4-(CIS-1'-N-PROPENYL)BENZENE,
736,1-METHYL-4-(TRANS-1'-N-PROPHENYL)BENZENE,
864,"ALPHA-1,4-BENZENEDIOL",
865,"BETA-1,4-BENZENEDIOL",
891,NONYLPHENOL,
995,N-CARPROIC ANHYDRIDE,
