Solvent_SMILES,Solute_SMILES
CC(=O)OCC(COC(C)=O)OC(C)=O,CO
CC(=O)OCC(COC(C)=O)OC(C)=O,CO
CC(=O)OCC(COC(C)=O)OC(C)=O,Cc1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,Cc1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,Cc1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,Cc1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,Cc1ccccc1
COC(=O)c1ccccc1C(=O)OC,CCCCl
COC(=O)c1ccccc1C(=O)OC,CCCCl
COC(=O)c1ccccc1C(=O)OC,CCCCl
COC(=O)c1ccccc1C(=O)OC,CCCCl
COC(=O)c1ccccc1C(=O)OC,C=CCCl
COC(=O)c1ccccc1C(=O)OC,C=CCCl
COC(=O)c1ccccc1C(=O)OC,C=CCCl
COC(=O)c1ccccc1C(=O)OC,C=CCCl
CC(=O)OCCOC(C)=O,C=CC(=C)C
CC(=O)OCCOC(C)=O,C=C/C=C/C
CC(=O)OCCOC(C)=O,C=CCCC
CC(=O)OCCOC(C)=O,CC=C(C)C
CC(=O)OCCOC(C)=O,c1ccccc1
CC(=O)OCCOC(C)=O,CCCCCC
CC(=O)OCCOC(C)=O,CCCCC
OCCO,C=C(C)C(=C)C
OCCO,C=C(C)C(=C)C
OCCO,C1COCCO1
OCCO,CCCCO
OCCO,CCCCO
OCCO,CCCCO
OCCO,C=CCCCCCCCC
OCCO,C=CCCCCCCCC
OCCO,C=CCCCCCCCC
OCCO,C=CCCCCCCCCCC
OCCO,C=CCCCCCCCCC
OCCO,C=CCCCCC
OCCO,C=CCCCCC
OCCO,C=CCCCCC
OCCO,CCCCCCO
OCCO,CCCCCCO
OCCO,CCCCCCO
OCCO,C=CCCCC
OCCO,C=CCCCC
OCCO,C=CCCCC
OCCO,C=CCCCC
OCCO,C=CCCCC
OCCO,C=CCCCCCCC
OCCO,C=CCCCCCCC
OCCO,C=CCCCCCCC
OCCO,C=CCCCCCC
OCCO,C=CCCCCCC
OCCO,C=CCCCCCC
OCCO,CCCCCO
OCCO,CCCCCO
OCCO,C=C(C)CC(C)(C)C
OCCO,CCCO
OCCO,CCCO
OCCO,CCCO
OCCO,CCCO
OCCO,CCCO
OCCO,CCC(C)=O
OCCO,CC=C(C)C
OCCO,C/C=C\CCC
OCCO,CC(C)O
OCCO,CC(C)O
OCCO,CC(C)O
OCCO,CC(C)O
OCCO,CC(C)O
OCCO,CC(C)O
OCCO,CC(C)O
OCCO,CC(C)O
OCCO,CC(C)O
OCCO,CC(C)=O
OCCO,CC(C)=O
OCCO,CC=O
OCCO,CC=O
OCCO,CC=O
OCCO,CC=O
OCCO,CCOC(C)=O
OCCO,CCOC(C)=O
OCCO,CCOC(C)=O
OCCO,c1ccc2cc3ccccc3cc2c1
OCCO,Cc1ccccc1C
OCCO,Cc1ccccc1C
OCCO,Cc1ccccc1C
OCCO,Cc1ccccc1C
OCCO,Cc1cc(C)cc(C)c1
OCCO,Cc1cc(C)cc(C)c1
OCCO,Cc1cc(C)cc(C)c1
OCCO,Cc1cccc(C)c1
OCCO,Cc1cccc(C)c1
OCCO,Cc1cccc(C)c1
OCCO,Cc1cccc(C)c1
OCCO,Cc1ccc(C)cc1
OCCO,Cc1ccc(C)cc1
OCCO,Cc1ccc(C)cc1
OCCO,Cc1ccc(C)cc1
OCCO,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
OCCO,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
OCCO,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
OCCO,CCCCc1ccccc1
OCCO,CCCCc1ccccc1
OCCO,CCCCc1ccccc1
OCCO,CCCCc1ccccc1
OCCO,CCc1ccccc1
OCCO,CCc1ccccc1
OCCO,CCc1ccccc1
OCCO,CCc1ccccc1
OCCO,CC(C)c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccccc1
OCCO,c1ccc(-c2ccccc2)cc1
OCCO,c1ccc(-c2ccccc2)cc1
OCCO,CCC(C)C
OCCO,CCCC
OCCO,c1ccc2c(c1)ccc1c3ccccc3ccc21
OCCO,c1ccc2c(c1)ccc1c3ccccc3ccc21
OCCO,c1ccc2c(c1)ccc1c3ccccc3ccc21
OCCO,C1CCCCCC1
OCCO,C1CCCCCC1
OCCO,C1CCCCCC1
OCCO,C[C@H]1CCCC[C@H]1C
OCCO,C[C@H]1CCCC[C@H]1C
OCCO,C[C@H]1CCCC[C@H]1C
OCCO,C[C@H]1CCCC[C@@H]1C
OCCO,C[C@H]1CCCC[C@@H]1C
OCCO,C[C@H]1CCCC[C@@H]1C
OCCO,C[C@H]1CCC[C@@H](C)C1
OCCO,C[C@H]1CCC[C@@H](C)C1
OCCO,C[C@H]1CCC[C@@H](C)C1
OCCO,C[C@H]1CCC[C@H](C)C1
OCCO,C[C@H]1CCC[C@H](C)C1
OCCO,C[C@H]1CCC[C@H](C)C1
OCCO,C[C@H]1CC[C@H](CC1)C
OCCO,C[C@H]1CC[C@H](CC1)C
OCCO,C[C@H]1CC[C@H](CC1)C
OCCO,C[C@H]1CC[C@@H](CC1)C
OCCO,C[C@H]1CC[C@@H](CC1)C
OCCO,C[C@H]1CC[C@@H](CC1)C
OCCO,CCCCC1CCCCC1
OCCO,CCCCC1CCCCC1
OCCO,CCCCC1CCCCC1
OCCO,CCCCC1CCCCC1
OCCO,CCCCC1CCCCC1
OCCO,CCC1CCCCC1
OCCO,CCC1CCCCC1
OCCO,CCC1CCCCC1
OCCO,CCC1CCCCC1
OCCO,CCC1CCCCC1
OCCO,CC1CCCCC1
OCCO,CC1CCCCC1
OCCO,CC1CCCCC1
OCCO,CC1CCCCC1
OCCO,CC1CCCCC1
OCCO,CC1CCCCC1
OCCO,CCCC1CCCCC1
OCCO,CCCC1CCCCC1
OCCO,CCCC1CCCCC1
OCCO,C1CCCCC1
OCCO,C1CCCCC1
OCCO,C1CCCCC1
OCCO,C1CCCCC1
OCCO,C1CCCCC1
OCCO,C1CCCCC1
OCCO,C1CCCCC1
OCCO,C1CCCCC1
OCCO,C1CCCCC1
OCCO,C1CCCCC1
OCCO,C1CCCCC1
OCCO,C1CCCCC1
OCCO,C1CCCCC1
OCCO,C1=CCCCC1
OCCO,C1CCCC1
OCCO,CCCCCCCCCC
