ID,Type,Compound_1,Compound_2,Compound_3,T_K,P_kPa,x_1,x_2,y_1,y_2
1,Isobaric,Acetone,Chloroform,Methanol,333.49,101.325,0.224,0.732,0.161,0.697
1,Isobaric,Acetone,Chloroform,Methanol,330.81,101.325,0.23,0.62,0.153,0.568
1,Isobaric,Acetone,Chloroform,Methanol,330.46,101.325,0.738,0.133,0.751,0.077
1,Isobaric,Acetone,Chloroform,Methanol,330.03,101.325,0.608,0.109,0.626,0.073
1,Isobaric,Acetone,Chloroform,Methanol,330.11,101.325,0.528,0.1,0.563,0.074
1,Isobaric,Acetone,Chloroform,Methanol,331.89,101.325,0.088,0.142,0.112,0.241
2,Isobaric,Hexane,Benzene,Sulpholane,344.65,101.325,0.0618,0.211,0.7511,0.2488
2,Isobaric,Hexane,Benzene,Sulpholane,346.25,101.325,0.075,0.3263,0.6303,0.3696
2,Isobaric,Hexane,Benzene,Sulpholane,364.35,101.325,0.022,0.248,0.466,0.5339
2,Isobaric,Hexane,Benzene,Sulpholane,354.95,101.325,0.035,0.235,0.617,0.3825
2,Isobaric,Hexane,Benzene,Sulpholane,351.15,101.325,0.045,0.223,0.706,0.2938
2,Isobaric,Hexane,Benzene,Sulpholane,347.75,101.325,0.0485,0.2233,0.6853,0.3146
2,Isobaric,Hexane,Benzene,Sulpholane,347.35,101.325,0.0629,0.3201,0.6232,0.3767
2,Isobaric,Hexane,Benzene,Sulpholane,346.05,101.325,0.1083,0.4464,0.567,0.4329
2,Isobaric,Hexane,Benzene,Sulpholane,345.75,101.325,0.0548,0.1957,0.7373,0.2626
2,Isobaric,Hexane,Benzene,Sulpholane,342.25,101.325,0.0303,0.0091,0.972,0.0279
2,Isobaric,Hexane,Benzene,Sulpholane,342.45,101.325,0.0315,0.0257,0.949,0.0509
2,Isobaric,Hexane,Benzene,Sulpholane,342.65,101.325,0.0287,0.0317,0.9342,0.0657
2,Isobaric,Hexane,Benzene,Sulpholane,343.65,101.325,0.0325,0.0479,0.9009,0.099
2,Isobaric,Hexane,Benzene,Sulpholane,345.15,101.325,0.0397,0.1166,0.83,0.1699
3,Isobaric,Benzene,Heptane,Dimethylformamide,371.4,101.325,0.197,0.117,0.384,0.465
3,Isobaric,Benzene,Heptane,Dimethylformamide,371.8,101.325,0.157,0.153,0.319,0.513
3,Isobaric,Benzene,Heptane,Dimethylformamide,371.9,101.325,0.344,0.046,0.69,0.2
3,Isobaric,Benzene,Heptane,Dimethylformamide,372.25,101.325,0.225,0.092,0.465,0.41
