"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
95.8,28,0.0,0.0,,,,
93.7,28,0.008,0.083,,,,
90.7,28,0.017,0.175,,,,
87.5,28,0.025,0.258,,,,
86.7,28,0.026,0.278,,,,
83.1,28,0.038,0.36,,,,
79.1,28,0.053,0.445,,,,
76.7,28,0.063,0.497,,,,
73.5,28,0.075,0.555,,,,
69.5,28,0.1,0.62,,,,
65.7,28,0.128,0.685,,,,
63.1,28,0.158,0.725,,,,
59.2,28,0.207,0.77,,,,
58.4,28,0.22,0.783,,,,
57.5,28,0.24,0.795,,,,
56.4,28,0.255,0.805,,,,
54.4,28,0.318,0.83,,,,
51.4,28,0.458,0.855,,,,
49.0,28,0.588,0.89,,,,
48.0,28,0.678,0.915,,,,
47.4,28,0.738,0.924,,,,
46.8,28,0.795,0.935,,,,
46.4,28,0.83,0.943,,,,
45.8,28,0.904,0.958,,,,
44.6,28,1.0,1.0,,,,
