"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
421.35,1.305,0.034,,+-0.05,+-0.01,0.001,
430.4,1.615,0.034,,+-0.05,+-0.01,0.001,
440.77,2.035,0.034,,+-0.05,+-0.01,0.001,
450.56,2.51,0.034,,+-0.05,+-0.01,0.001,
461.77,3.15,0.034,,+-0.05,+-0.01,0.001,
471.49,3.85,0.034,,+-0.05,+-0.01,0.001,
480.94,4.54,0.034,,+-0.05,+-0.01,0.001,
490.31,5.375,0.034,,+-0.05,+-0.01,0.001,
499.97,6.365,0.034,,+-0.05,+-0.01,0.001,
509.03,7.42,0.034,,+-0.05,+-0.01,0.001,
510.78,7.766,0.034,,+-0.05,+-0.01,0.001,
512.72,7.869,0.034,,+-0.05,+-0.01,0.001,
513.2,7.91,0.034,,+-0.05,+-0.01,0.001,
