"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
431.25,20,0.0,0.0,,,,
430.55,20,0.01,0.031,,,,
430.05,20,0.016,0.056,,,,
429.55,20,0.026,0.082,,,,
428.85,20,0.037,0.121,,,,
427.95,20,0.052,0.152,,,,
426.85,20,0.069,0.202,,,,
425.55,20,0.093,0.256,,,,
423.95,20,0.121,0.311,,,,
422.05,20,0.15,0.38,,,,
420.05,20,0.188,0.442,,,,
417.75,20,0.235,0.519,,,,
415.55,20,0.284,0.587,,,,
413.15,20,0.338,0.658,,,,
410.95,20,0.382,0.701,,,,
408.75,20,0.436,0.75,,,,
406.45,20,0.503,0.806,,,,
404.25,20,0.57,0.845,,,,
402.15,20,0.631,0.88,,,,
400.45,20,0.698,0.908,,,,
398.85,20,0.749,0.926,,,,
397.35,20,0.801,0.945,,,,
396.05,20,0.859,0.961,,,,
395.05,20,0.898,0.975,,,,
394.25,20,0.938,0.985,,,,
393.65,20,0.964,0.991,,,,
393.25,20,0.981,0.996,,,,
393.05,20,0.992,0.998,,,,
392.95,20,1.0,1.0,,,,
