"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
45.7,30.85,0.0,0.0,,,0.001,0.001
45.7,32.92,0.0325,0.0883,,,0.001,0.001
45.7,33.8,0.0519,0.1309,,,0.001,0.001
45.7,37.68,0.1302,0.2812,,,0.001,0.001
45.7,39.92,0.184,0.3489,,,0.001,0.001
45.7,43.07,0.2773,0.4568,,,0.001,0.001
45.7,45.2,0.3472,0.5197,,,0.001,0.001
45.7,45.99,0.3785,0.5406,,,0.001,0.001
45.7,48.1,0.4753,0.6111,,,0.001,0.001
45.7,49.54,0.5573,0.6665,,,0.001,0.001
45.7,51.38,0.6808,0.7487,,,0.001,0.001
45.7,52.24,0.7614,0.8023,,,0.001,0.001
45.7,52.8,0.8276,0.85,,,0.001,0.001
45.7,53.28,0.8789,0.8895,,,0.001,0.001
45.7,53.48,0.9506,0.9513,,,0.001,0.001
45.7,53.58,1.0,1.0,,,0.001,0.001
