"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
363.43,3.47,0.0494,,+- 0.01,0.01,,
368.38,4.17,0.0494,,+- 0.01,0.01,,
373.36,5.17,0.0494,,+- 0.01,0.01,,
378.28,6.36,0.0494,,+- 0.01,0.01,,
383.25,7.86,0.0494,,+- 0.01,0.01,,
387.2,9.56,0.0494,,+- 0.01,0.01,,
392.2,11.36,0.0494,,+- 0.01,+- 0.05,,
393.26,81.7,0.148,,+- 0.01,+- 0.05,,
401.48,71.8,0.148,,+- 0.01,+- 0.05,,
409.15,61.9,0.148,,+- 0.01,+- 0.05,,
415.19,54.5,0.148,,+- 0.01,+- 0.05,,
424.33,47.8,0.148,,+- 0.01,+- 0.05,,
432.02,40.5,0.148,,+- 0.01,+- 0.05,,
439.87,32.7,0.148,,+- 0.01,+- 0.05,,
380.64,111.8,0.2004,,+- 0.01,+- 0.05,,
388.99,96.6,0.2004,,+- 0.01,+- 0.05,,
397.04,84.9,0.2004,,+- 0.01,+- 0.05,,
405.29,75.7,0.2004,,+- 0.01,+- 0.05,,
413.34,68.1,0.2004,,+- 0.01,+- 0.05,,
420.96,60.4,0.2004,,+- 0.01,+- 0.05,,
428.25,54.55,0.2004,,+- 0.01,+- 0.05,,
436.09,49.3,0.2004,,+- 0.01,+- 0.05,,
372.21,138.3,0.2392,,+- 0.01,+- 0.05,,
381.07,116.73,0.2392,,+- 0.01,+- 0.05,,
390.07,100.14,0.2392,,+- 0.01,+- 0.05,,
399.18,87.36,0.2392,,+- 0.01,+- 0.05,,
407.44,77.9,0.2392,,+- 0.01,+- 0.05,,
415.55,69.99,0.2392,,+- 0.01,+- 0.05,,
423.52,63.08,0.2392,,+- 0.01,+- 0.05,,
432.43,56.2,0.2392,,+- 0.01,+- 0.05,,
441.58,49.96,0.2392,,+- 0.01,+- 0.05,,
380.13,119.35,0.2956,,+- 0.01,+- 0.05,,
386.94,106.43,0.2956,,+- 0.01,+- 0.05,,
394.64,94.4,0.2956,,+- 0.01,+- 0.05,,
402.4,84.66,0.2956,,+- 0.01,+- 0.05,,
411.12,75.49,0.2956,,+- 0.01,+- 0.05,,
418.97,68.49,0.2956,,+- 0.01,+- 0.05,,
427.14,62.07,0.2956,,+- 0.01,+- 0.05,,
434.4,56.96,0.2956,,+- 0.01,+- 0.05,,
442.37,51.86,0.2956,,+- 0.01,+- 0.05,,
363.6,167.3,0.3496,,+- 0.01,+- 0.05,,
372.64,136.7,0.3496,,+- 0.01,+- 0.05,,
381.5,115.89,0.3496,,+- 0.01,+- 0.05,,
389.15,102.17,0.3496,,+- 0.01,+- 0.05,,
396.95,91.04,0.3496,,+- 0.01,+- 0.05,,
404.64,81.97,0.3496,,+- 0.01,+- 0.05,,
412.72,73.91,0.3496,,+- 0.01,+- 0.05,,
420.52,67.2,0.3496,,+- 0.01,+- 0.05,,
428.45,61.29,0.3496,,+- 0.01,+- 0.05,,
436.24,55.98,0.3496,,+- 0.01,+- 0.05,,
442.39,52.18,0.3496,,+- 0.01,+- 0.05,,
372.15,132.8,0.4007,,+- 0.01,+- 0.05,,
380.28,114.98,0.4007,,+- 0.01,+- 0.05,,
388.38,101.12,0.4007,,+- 0.01,+- 0.05,,
396.3,90.27,0.4007,,+- 0.01,+- 0.05,,
404.34,81.34,0.4007,,+- 0.01,+- 0.05,,
412.65,73.42,0.4007,,+- 0.01,+- 0.05,,
420.59,66.9,0.4007,,+- 0.01,+- 0.05,,
428.67,60.98,0.4007,,+- 0.01,+- 0.05,,
436.29,55.99,0.4007,,+- 0.01,+- 0.05,,
444.54,51.13,0.4007,,+- 0.01,+- 0.05,,
371.24,127.0,0.4492,,+- 0.01,+- 0.05,,
379.09,111.53,0.4492,,+- 0.01,+- 0.05,,
388.24,97.14,0.4492,,+- 0.01,+- 0.05,,
396.32,87.05,0.4492,,+- 0.01,+- 0.05,,
404.17,78.94,0.4492,,+- 0.01,+- 0.05,,
411.8,72.14,0.4492,,+- 0.01,+- 0.05,,
420.02,65.8,0.4492,,+- 0.01,+- 0.05,,
427.85,60.42,0.4492,,+- 0.01,+- 0.05,,
435.89,55.45,0.4492,,+- 0.01,+- 0.05,,
443.79,51.0,0.4492,,+- 0.01,+- 0.05,,
359.4,145.6,0.49,,+- 0.01,+- 0.05,,
368.08,123.7,0.49,,+- 0.01,+- 0.05,,
380.03,102.35,0.49,,+- 0.01,+- 0.05,,
387.88,91.78,0.49,,+- 0.01,+- 0.05,,
395.74,83.16,0.49,,+- 0.01,+- 0.05,,
403.54,75.88,0.49,,+- 0.01,+- 0.05,,
411.83,69.32,0.49,,+- 0.01,+- 0.05,,
419.87,63.61,0.49,,+- 0.01,+- 0.05,,
428.0,58.54,0.49,,+- 0.01,+- 0.05,,
436.05,54.06,0.49,,+- 0.01,+- 0.05,,
443.71,50.06,0.49,,+- 0.01,+- 0.05,,
353.1,137.9,0.5485,,,,,
362.93,115.35,0.5485,,,,,
373.17,98.44,0.5485,,,,,
383.1,86.56,0.5485,,,,,
389.5,80.06,0.5485,,,,,
398.6,72.4,0.5485,,,,,
406.58,66.52,0.5485,,,,,
413.94,61.9,0.5485,,,,,
421.44,57.53,0.5485,,,,,
429.4,53.48,0.5485,,,,,
437.19,49.84,0.5485,,,,,
444.99,46.45,0.5485,,,,,
