"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
298.15,23.4,0.0,0.0,+-0.05,+-0.05,,
298.15,22.3,0.094,0.045,+-0.05,+-0.05,,
298.15,21.75,0.129,0.065,+-0.05,+-0.05,,
298.15,20.95,0.179,0.101,+-0.05,+-0.05,,
298.15,20.25,0.228,0.145,+-0.05,+-0.05,,
298.15,19.5,0.293,0.208,+-0.05,+-0.05,,
298.15,18.75,0.353,0.285,+-0.05,+-0.05,,
298.15,18.3,0.431,0.4,+-0.05,+-0.05,,
298.15,18.15,0.511,0.535,+-0.05,+-0.05,,
298.15,18.95,0.617,0.71,+-0.05,+-0.05,,
298.15,20.25,0.7,0.805,+-0.05,+-0.05,,
298.15,21.15,0.752,0.864,+-0.05,+-0.05,,
298.15,22.5,0.81,0.915,+-0.05,+-0.05,,
298.15,23.8,0.874,0.952,+-0.05,+-0.05,,
298.15,25.0,0.93,0.981,+-0.05,+-0.05,,
298.15,26.3,1.0,1.0,+-0.05,+-0.05,,
