"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
313.15,7.893,0.0,,0.004,0.004,0.0005,
313.15,7.947,0.00022,,0.004,0.004,0.0005,
313.15,7.982,0.00035,,0.004,0.004,0.0005,
313.15,8.029,0.00088,,0.004,0.004,0.0005,
313.15,8.099,0.00103,,0.004,0.004,0.0005,
313.15,8.137,0.00125,,0.004,0.004,0.0005,
313.15,8.206,0.0017,,0.004,0.004,0.0005,
313.15,8.313,0.00226,,0.004,0.004,0.0005,
313.15,8.435,0.00295,,0.004,0.004,0.0005,
313.15,8.587,0.00375,,0.004,0.004,0.0005,
313.15,8.762,0.00511,,0.004,0.004,0.0005,
313.15,9.047,0.00657,,0.004,0.004,0.0005,
313.15,9.338,0.00814,,0.004,0.004,0.0005,
313.15,9.67,0.01012,,0.004,0.004,0.0005,
313.15,10.037,0.01293,,0.004,0.004,0.0005,
313.15,10.534,0.01541,,0.004,0.004,0.0005,
313.15,10.988,0.01799,,0.004,0.004,0.0005,
313.15,11.994,0.02522,,0.004,0.004,0.0005,
313.15,13.355,0.03605,,0.004,0.004,0.0005,
313.15,13.759,0.03921,,0.004,0.004,0.0005,
313.15,14.059,0.04129,,0.004,0.004,0.0005,
313.15,14.252,0.04416,,0.004,0.004,0.0005,
313.15,14.511,0.0461,,0.004,0.004,0.0005,
313.15,14.668,0.04829,,0.004,0.004,0.0005,
313.15,15.112,0.0535,,0.004,0.004,0.0005,
313.15,17.217,0.1112,,0.004,0.004,0.0005,
313.15,18.116,0.1625,,0.004,0.004,0.0005,
313.15,18.43,0.189,,0.004,0.004,0.0005,
313.15,18.942,0.2496,,0.004,0.004,0.0005,
313.15,19.014,0.2568,,0.004,0.004,0.0005,
313.15,19.304,0.3105,,0.004,0.004,0.0005,
313.15,19.58,0.3727,,0.004,0.004,0.0005,
313.15,19.821,0.4371,,0.004,0.004,0.0005,
313.15,20.028,0.5041,,0.004,0.004,0.0005,
313.15,20.161,0.5571,,0.004,0.004,0.0005,
313.15,20.297,0.6229,,0.004,0.004,0.0005,
313.15,20.345,0.6915,,0.004,0.004,0.0005,
313.15,20.344,0.7533,,0.004,0.004,0.0005,
313.15,20.24,0.8106,,0.004,0.004,0.0005,
313.15,19.864,0.8767,,0.004,0.004,0.0005,
313.15,19.145,0.9409,,0.004,0.004,0.0005,
313.15,17.897,1.0,,0.004,0.004,0.0005,
