"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
50.0,1.06,0.0153,0.9124,+-0.05,0.01,+-1.5%,+-1.5%
50.0,1.5,0.0223,0.9363,+-0.05,0.01,+-1.5%,+-1.5%
50.0,2.07,0.0341,0.9523,+-0.05,0.01,+-1.5%,+-1.5%
50.0,3.07,0.0509,0.9627,+-0.05,0.01,+-1.5%,+-1.5%
50.0,4.28,0.0725,0.9698,+-0.05,0.01,+-1.5%,+-1.5%
50.0,5.0,0.0822,0.9707,+-0.05,0.01,+-1.5%,+-1.5%
50.0,5.98,0.0994,0.9713,+-0.05,0.01,+-1.5%,+-1.5%
50.0,7.05,0.12,0.9718,+-0.05,0.01,+-1.5%,+-1.5%
50.0,8.25,0.136,0.9729,+-0.05,0.01,+-1.5%,+-1.5%
50.0,9.59,0.1647,0.9729,+-0.05,0.01,+-1.5%,+-1.5%
50.0,10.73,0.1782,0.9715,+-0.05,0.01,+-1.5%,+-1.5%
50.0,11.75,0.195,0.9711,+-0.05,0.01,+-1.5%,+-1.5%
