"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
210,0.0514,0.0581,0.3316,0.015,0.0005,,
210,0.0533,0.049,0.03316,0.015,0.0005,,
210,0.0666,0.1031,0.5312,0.015,0.0005,,
210,0.0669,0.11,0.5378,0.015,0.0005,,
210,0.0891,0.1797,0.6883,0.015,0.0005,,
210,0.0898,0.1763,0.6946,0.015,0.0005,,
210,0.1278,0.3151,0.8262,0.015,0.0005,,
210,0.1287,0.3165,0.8209,0.015,0.0005,,
210,0.129,0.3128,0.8225,0.015,0.0005,,
210,0.1665,0.4433,0.8911,0.015,0.0005,,
210,0.1668,0.4406,0.8892,0.015,0.0005,,
210,0.2156,0.6129,0.9349,0.015,0.0005,,
210,0.2159,0.615,0.9348,0.015,0.0005,,
210,0.2374,0.6985,0.9477,0.015,0.0005,,
210,0.2425,0.701,0.9541,0.015,0.0005,,
210,0.2781,0.8353,0.9733,0.015,0.0005,,
210,0.2828,0.8357,0.9758,0.015,0.0005,,
210,0.2866,0.855,0.9768,0.015,0.0005,,
