"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
35,207.0,0.0528,0.3252,+-0.005,+-0.05,,
35,263.7,0.1079,0.4879,+-0.005,+-0.05,,
35,310.2,0.1609,0.5822,+-0.005,+-0.05,,
35,362.9,0.2332,0.6672,+-0.005,+-0.05,,
35,402.0,0.2913,0.7129,+-0.005,+-0.05,,
35,454.0,0.3848,0.7701,+-0.005,+-0.05,,
35,484.0,0.4459,0.7992,+-0.005,+-0.05,,
35,543.1,0.5689,0.8492,+-0.005,+-0.05,,
35,581.1,0.6598,0.8801,+-0.005,+-0.05,,
35,612.1,0.7367,0.9056,+-0.005,+-0.05,,
35,650.1,0.8135,0.9319,+-0.005,+-0.05,,
35,686.6,0.8998,0.9615,+-0.005,+-0.05,,
