"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
333.15,0.0337,0.0,0.0,+-0.01,+-0.001,+-0.001,+-0.001
333.25,0.036,0.001,0.072,+-0.01,+-0.001,+-0.001,+-0.001
333.32,0.038,0.002,0.12,+-0.01,+-0.001,+-0.001,+-0.001
333.54,0.039,0.003,0.145,+-0.01,+-0.001,+-0.001,+-0.001
333.48,0.041,0.004,0.185,+-0.01,+-0.001,+-0.001,+-0.001
333.52,0.044,0.005,0.232,+-0.01,+-0.001,+-0.001,+-0.001
333.47,0.045,0.006,0.248,+-0.01,+-0.001,+-0.001,+-0.001
333.37,0.047,0.007,0.285,+-0.01,+-0.001,+-0.001,+-0.001
333.15,0.047,0.007,0.29,+-0.01,+-0.001,+-0.001,+-0.001
333.49,0.053,0.01,0.373,+-0.01,+-0.001,+-0.001,+-0.001
333.37,0.072,0.02,0.541,+-0.01,+-0.001,+-0.001,+-0.001
333.15,0.088,0.028,0.63,+-0.01,+-0.001,+-0.001,+-0.001
333.67,0.095,0.031,0.653,+-0.01,+-0.001,+-0.001,+-0.001
333.29,0.14,0.056,0.771,+-0.01,+-0.001,+-0.001,+-0.001
333.18,0.224,0.11,0.863,+-0.01,+-0.001,+-0.001,+-0.001
333.25,0.352,0.243,0.92,+-0.01,+-0.001,+-0.001,+-0.001
333.17,0.437,0.38,0.942,+-0.01,+-0.001,+-0.001,+-0.001
333.17,0.508,0.503,0.956,+-0.01,+-0.001,+-0.001,+-0.001
333.29,0.563,0.607,0.965,+-0.01,+-0.001,+-0.001,+-0.001
333.17,0.602,0.693,0.971,+-0.01,+-0.001,+-0.001,+-0.001
333.26,0.649,0.801,0.979,+-0.01,+-0.001,+-0.001,+-0.001
333.18,0.682,0.869,0.985,+-0.01,+-0.001,+-0.001,+-0.001
333.27,0.728,0.957,0.995,+-0.01,+-0.001,+-0.001,+-0.001
333.15,0.766,1.0,1.0,+-0.01,+-0.001,+-0.001,+-0.001
343.15,0.0543,0.0,0.0,+-0.01,+-0.001,+-0.001,+-0.001
343.24,0.064,0.004,0.165,+-0.01,+-0.001,+-0.001,+-0.001
343.28,0.076,0.009,0.293,+-0.01,+-0.001,+-0.001,+-0.001
343.15,0.091,0.015,0.415,+-0.01,+-0.001,+-0.001,+-0.001
343.24,0.104,0.02,0.492,+-0.01,+-0.001,+-0.001,+-0.001
343.36,0.115,0.025,0.538,+-0.01,+-0.001,+-0.001,+-0.001
343.61,0.158,0.044,0.67,+-0.01,+-0.001,+-0.001,+-0.001
343.26,0.271,0.1,0.816,+-0.01,+-0.001,+-0.001,+-0.001
343.11,0.475,0.242,0.906,+-0.01,+-0.001,+-0.001,+-0.001
343.21,0.611,0.386,0.935,+-0.01,+-0.001,+-0.001,+-0.001
343.22,0.695,0.501,0.948,+-0.01,+-0.001,+-0.001,+-0.001
343.25,0.77,0.618,0.959,+-0.01,+-0.001,+-0.001,+-0.001
343.18,0.823,0.699,0.967,+-0.01,+-0.001,+-0.001,+-0.001
343.17,0.896,0.808,0.977,+-0.01,+-0.001,+-0.001,+-0.001
343.26,0.941,0.868,0.983,+-0.01,+-0.001,+-0.001,+-0.001
343.18,1.0,0.94,0.992,+-0.01,+-0.001,+-0.001,+-0.001
343.15,1.0552,1.0,1.0,+-0.01,+-0.001,+-0.001,+-0.001
