"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
57.4,730,0.169,0.094,+-0.1,,+-0.15,+-0.15
57.9,730,0.192,0.108,+-0.1,,+-0.15,+-0.15
59.1,730,0.258,0.147,+-0.1,,+-0.15,+-0.15
59.2,730,0.268,0.153,+-0.1,,+-0.15,+-0.15
61.0,730,0.355,0.222,+-0.1,,+-0.15,+-0.15
62.7,730,0.453,0.314,+-0.1,,+-0.15,+-0.15
63.6,730,0.492,0.368,+-0.1,,+-0.15,+-0.15
65.3,730,0.589,0.501,+-0.1,,+-0.15,+-0.15
65.6,730,0.6,0.515,+-0.1,,+-0.15,+-0.15
66.5,730,0.66,0.599,+-0.1,,+-0.15,+-0.15
66.8,730,0.674,0.623,+-0.1,,+-0.15,+-0.15
66.7,730,0.679,0.623,+-0.1,,+-0.15,+-0.15
66.9,730,0.68,0.639,+-0.1,,+-0.15,+-0.15
66.9,730,0.719,0.7,+-0.1,,+-0.15,+-0.15
67.3,730,0.758,0.755,+-0.1,,+-0.15,+-0.15
67.1,730,0.781,0.791,+-0.1,,+-0.15,+-0.15
67.0,730,0.782,0.783,+-0.1,,+-0.15,+-0.15
67.1,730,0.799,0.812,+-0.1,,+-0.15,+-0.15
67.0,730,0.836,0.857,+-0.1,,+-0.15,+-0.15
65.7,730,0.943,0.964,+-0.1,,+-0.15,+-0.15
