"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
54.99,40,0.0,0.0,0.02,,0.0005,0.0005
50.0,40,0.035,0.124,0.02,,0.0005,0.0005
45.0,40,0.074,0.216,0.02,,0.0005,0.0005
40.0,40,0.117,0.3,0.02,,0.0005,0.0005
35.0,40,0.168,0.382,0.02,,0.0005,0.0005
30.0,40,0.232,0.467,0.02,,0.0005,0.0005
25.0,40,0.313,0.546,0.02,,0.0005,0.0005
20.0,40,0.42,0.63,0.02,,0.0005,0.0005
15.0,40,0.563,0.72,0.02,,0.0005,0.0005
10.0,40,0.756,0.835,0.02,,0.0005,0.0005
9.0,40,0.797,0.862,0.02,,0.0005,0.0005
8.0,40,0.852,0.899,0.02,,0.0005,0.0005
7.0,40,0.916,0.942,0.02,,0.0005,0.0005
5.8,40,1.0,1.0,0.02,,0.0005,0.0005
