"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
298.15,185,0.105,,+-0.002,3,+-0.0002,
298.15,364,0.2016,,+-0.002,3,+-0.0002,
298.15,577,0.3169,,+-0.002,3,+-0.0002,
298.15,719,0.3937,,+-0.002,3,+-0.0002,
298.15,900,0.4895,,+-0.002,3,+-0.0002,
298.15,1100,0.5949,,+-0.002,3,+-0.0002,
298.15,923,0.5024,,+-0.002,3,+-0.0002,
298.15,1297,0.6979,,+-0.002,3,+-0.0002,
298.15,1491,0.7963,,+-0.002,3,+-0.0002,
298.15,1680,0.8971,,+-0.002,3,+-0.0002,
298.15,208,0.1186,,+-0.002,3,+-0.0002,
298.15,520,0.2868,,+-0.002,3,+-0.0002,
298.15,577,0.3184,,+-0.002,3,+-0.0002,
298.15,888,0.4857,,+-0.002,3,+-0.0002,
298.15,915,0.498,,+-0.002,3,+-0.0002,
298.15,1287,0.6921,,+-0.002,3,+-0.0002,
298.15,1277,0.6873,,+-0.002,3,+-0.0002,
