"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
220,250,0.023,0.789,+-0.2,+-2,+-0.002,+-0.002
220,500,0.047,0.869,+-0.2,+-2,+-0.002,+-0.002
220,1000,0.095,0.921,+-0.2,+-2,+-0.002,+-0.002
220,1500,0.15,0.928,+-0.2,+-2,+-0.002,+-0.002
220,2000,0.199,0.928,+-0.2,+-2,+-0.002,+-0.002
220,2500,0.242,0.927,+-0.2,+-2,+-0.002,+-0.002
220,3000,0.283,0.926,+-0.2,+-2,+-0.002,+-0.002
220,3500,0.335,0.911,+-0.2,+-2,+-0.002,+-0.002
220,4000,0.38,0.899,+-0.2,+-2,+-0.002,+-0.002
220,4500,0.439,0.893,+-0.2,+-2,+-0.002,+-0.002
220,5000,0.479,0.867,+-0.2,+-2,+-0.002,+-0.002
