"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
358.15,0.0805,0.0,0.0,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.1287,0.057,0.362,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.1599,0.079,0.507,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.2266,0.151,0.704,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.2562,0.184,0.749,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.2865,0.209,0.789,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.3641,0.283,0.872,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.4246,0.353,0.907,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.4858,0.414,0.936,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.5695,0.501,0.959,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.6378,0.569,0.994,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.7011,0.631,0.996,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.7925,0.723,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.8434,0.771,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.912,0.843,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.9999,0.924,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,1.0776,1.0,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
