"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
333.25,0.609,0.8005,,0.02,0.01,,
343.22,0.767,0.8005,,0.02,0.01,,
353.26,0.955,0.8005,,0.02,0.01,,
363.26,1.174,0.8005,,0.02,0.01,,
363.28,1.175,0.8005,,0.02,0.01,,
373.27,1.427,0.8005,,0.02,0.01,,
383.26,1.717,0.8005,,0.02,0.01,,
393.21,2.046,0.8005,,0.02,0.01,,
403.32,2.429,0.8005,,0.02,0.01,,
413.26,2.853,0.8005,,0.02,0.01,,
423.29,3.336,0.8005,,0.02,0.01,,
433.25,3.872,0.8005,,0.02,0.01,,
438.16,4.118,0.8005,,0.02,0.01,,
438.26,4.121,0.8005,,0.02,0.01,,
