"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
190,719.6,0.03,,0.02,0.2,0.0008,0.0008
190,719.6,0.0304,,0.02,0.2,0.0008,0.0008
190,719.7,,0.1282,0.02,0.2,0.0008,0.0008
190,1007.0,0.0775,,0.02,0.2,0.0008,0.0008
190,1007.0,0.0772,,0.02,0.2,0.0008,0.0008
190,1007.1,,0.2372,0.02,0.2,0.0008,0.0008
190,1267.5,0.1231,,0.02,0.2,0.0008,0.0008
190,1267.5,0.1227,,0.02,0.2,0.0008,0.0008
190,1269.5,,0.279,0.02,0.2,0.0008,0.0008
190,1269.5,,0.2799,0.02,0.2,0.0008,0.0008
190,1389.0,0.1514,,0.02,0.2,0.0008,0.0008
190,1389.0,0.1527,,0.02,0.2,0.0008,0.0008
190,1389.2,,0.289,0.02,0.2,0.0008,0.0008
190,1389.2,,0.2881,0.02,0.2,0.0008,0.0008
190,1468.7,0.1769,0.2855,0.02,0.2,0.0008,0.0008
190,1468.7,0.1758,0.2829,0.02,0.2,0.0008,0.0008
190,1525.5,0.2058,,0.02,0.2,0.0008,0.0008
190,1525.5,0.208,,0.02,0.2,0.0008,0.0008
190,1525.6,,0.2678,0.02,0.2,0.0008,0.0008
190,1525.6,,0.2664,0.02,0.2,0.0008,0.0008
