"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
98.3,101.3,0.0048,0.0254,+-0.02,,,
93.04,101.3,0.0527,0.2258,+-0.02,,,
90.73,101.3,0.0815,0.2902,+-0.02,,,
89.46,101.3,0.1032,0.3266,+-0.02,,,
87.33,101.3,0.1313,0.3783,+-0.02,,,
86.0,101.3,0.1482,0.3935,+-0.02,,,
81.99,101.3,0.2275,0.477,+-0.02,,,
80.71,101.3,0.3693,0.5578,+-0.02,,,
79.9,101.3,0.4925,0.6217,+-0.02,,,
79.48,101.3,0.6021,0.6647,+-0.02,,,
79.34,101.3,0.7097,0.71,+-0.02,,,
79.37,101.3,0.7581,0.7405,+-0.02,,,
79.46,101.3,0.7784,0.7558,+-0.02,,,
79.6,101.3,0.8034,0.7777,+-0.02,,,
79.74,101.3,0.8272,0.79,+-0.02,,,
79.9,101.3,0.9404,0.8029,+-0.02,,,
81.44,101.3,0.9686,0.9194,+-0.02,,,
