"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
394.6,273.11,0.032,,0.4,1.5,0.009,
394.9,271.86,0.032,,0.4,1.5,0.009,
395.5,269.56,0.032,,0.4,1.5,0.009,
397.67,261.85,0.032,,0.4,1.5,0.009,
400.78,251.15,0.032,,0.4,1.5,0.009,
405.76,235.34,0.032,,0.4,1.5,0.009,
412.82,216.33,0.032,,0.4,1.5,0.009,
419.61,200.82,0.032,,0.4,1.5,0.009,
427.22,185.31,0.032,,0.4,1.5,0.009,
430.66,179.81,0.032,,0.4,1.5,0.009,
440.16,164.3,0.032,,0.4,1.5,0.009,
449.51,151.49,0.032,,0.4,1.5,0.009,
458.42,140.48,0.032,,0.4,1.5,0.009,
467.63,131.28,0.032,,0.4,1.5,0.009,
