"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
115.0,760,0.02,0.05,+-0.1,+-1,,
114.0,760,0.03,0.07,+-0.1,+-1,,
113.3,760,0.0425,0.095,+-0.1,+-1,,
111.2,760,0.095,0.21,+-0.1,+-1,,
109.7,760,0.135,0.275,+-0.1,+-1,,
108.0,760,0.2,0.36,+-0.1,+-1,,
107.0,760,0.247,0.4,+-0.1,+-1,,
105.9,760,0.305,0.445,+-0.1,+-1,,
105.0,760,0.346,0.49,+-0.1,+-1,,
104.1,760,0.41,0.5375,+-0.1,+-1,,
103.5,760,0.436,0.5675,+-0.1,+-1,,
103.6,760,0.445,0.565,+-0.1,+-1,,
102.6,760,0.488,0.6,+-0.1,+-1,,
101.6,760,0.57,0.65,+-0.1,+-1,,
101.4,760,0.64,0.695,+-0.1,+-1,,
100.6,760,0.682,0.735,+-0.1,+-1,,
100.4,760,0.765,0.795,+-0.1,+-1,,
99.9,760,0.835,0.825,+-0.1,+-1,,
100.3,760,0.89,0.88,+-0.1,+-1,,
100.7,760,0.94,0.93,+-0.1,+-1,,
