"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
393.58,303.0,0.0,0.0,+-0.01,+-0.1,,
392.4,303.0,0.0457,0.0723,+-0.01,+-0.1,,
391.87,303.0,0.0847,0.1225,+-0.01,+-0.1,,
391.18,303.0,0.1259,0.1768,+-0.01,+-0.1,,
390.34,303.0,0.1879,0.2588,+-0.01,+-0.1,,
388.87,303.0,0.2553,0.3436,+-0.01,+-0.1,,
387.56,303.0,0.3207,0.4201,+-0.01,+-0.1,,
387.06,303.0,0.3349,0.4406,+-0.01,+-0.1,,
385.94,303.0,0.407,0.5215,+-0.01,+-0.1,,
383.87,303.0,0.4851,0.6043,+-0.01,+-0.1,,
382.9,303.0,0.5279,0.6495,+-0.01,+-0.1,,
381.53,303.0,0.5961,0.7151,+-0.01,+-0.1,,
380.03,303.0,0.6555,0.7642,+-0.01,+-0.1,,
378.8,303.0,0.7115,0.8109,+-0.01,+-0.1,,
377.69,303.0,0.7515,0.8503,+-0.01,+-0.1,,
376.91,303.0,0.7961,0.8817,+-0.01,+-0.1,,
375.06,303.0,0.8715,0.9303,+-0.01,+-0.1,,
374.33,303.0,0.9063,0.9527,+-0.01,+-0.1,,
373.36,303.0,0.938,0.9701,+-0.01,+-0.1,,
372.65,303.0,0.962,0.9847,+-0.01,+-0.1,,
372.27,303.0,0.988,0.9957,+-0.01,+-0.1,,
372.09,303.0,1.0,1.0,+-0.01,+-0.1,,
