"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
-63.0,0.008,0.0,0.0,0.02,1,0.005,0.005
-63.0,20.2,0.01563,0.999495,0.02,1,0.005,0.005
-63.0,25.2,0.01867,0.999589,0.02,1,0.005,0.005
-63.0,50.2,0.03782,0.999781,0.02,1,0.005,0.005
-63.0,100.2,0.07307,0.999868,0.02,1,0.005,0.005
-63.0,150.2,0.1079,0.999888,0.02,1,0.005,0.005
-63.0,200.2,0.1411,0.999903,0.02,1,0.005,0.005
-63.0,300.2,0.2071,0.999894,0.02,1,0.005,0.005
-63.0,400.2,0.27,0.999878,0.02,1,0.005,0.005
-63.0,600.0,0.3881,0.999798,0.02,1,0.005,0.005
-63.0,800.0,0.5139,0.999402,0.02,1,0.005,0.005
-63.0,1000.0,0.6162,0.9973,0.02,1,0.005,0.005
-63.0,1200.0,0.7156,0.99177,0.02,1,0.005,0.005
-63.0,1300.0,0.7576,,0.02,1,0.005,0.005
-63.0,1400.0,0.8091,0.9882,0.02,1,0.005,0.005
-63.0,1420.0,0.8279,,0.02,1,0.005,0.005
-63.0,1435.0,0.8568,,0.02,1,0.005,0.005
-63.0,1440.0,0.8713,,0.02,1,0.005,0.005
-63.0,1443.0,0.9872,0.9872,0.02,1,0.005,0.005
