"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
346,194.56,0.0676,0.2018,,,,
346,211.56,0.0975,0.2814,,,,
346,231.51,0.1349,0.3645,,,,
346,266.75,0.1935,0.5015,,,,
346,312.44,0.2776,0.6375,,,,
346,353.4,0.3529,0.7223,,,,
346,401.76,0.4393,0.8069,,,,
346,455.47,0.5523,0.8687,,,,
346,472.31,0.5755,0.8897,,,,
346,530.18,0.6956,0.9377,,,,
346,547.43,0.7411,0.9522,,,,
