"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
75.0,34.66,0.0,0.0,+- 0.01,,,
75.0,36.49,0.0201,0.0653,+- 0.01,,,
75.0,38.92,0.0488,0.1449,+- 0.01,,,
75.0,40.9,0.0759,0.2031,+- 0.01,,,
75.0,41.1,0.0786,0.2105,+- 0.01,,,
75.0,43.37,0.1123,0.2718,+- 0.01,,,
75.0,45.19,0.1432,0.3178,+- 0.01,,,
75.0,47.12,0.1796,0.3659,+- 0.01,,,
75.0,50.04,0.2495,0.4379,+- 0.01,,,
75.0,51.67,0.2984,0.4773,+- 0.01,,,
75.0,53.15,0.3549,0.5167,+- 0.01,,,
75.0,54.54,0.421,0.556,+- 0.01,,,
75.0,55.05,0.452,0.573,+- 0.01,,,
75.0,55.97,0.52,0.607,+- 0.01,,,
75.0,56.51,0.5856,0.6376,+- 0.01,,,
75.0,56.77,0.6403,0.6638,+- 0.01,,,
75.0,56.82,0.7156,0.7001,+- 0.01,,,
75.0,56.21,0.8065,0.7502,+- 0.01,,,
75.0,54.62,0.8936,0.8154,+- 0.01,,,
75.0,51.67,0.9605,0.9048,+- 0.01,,,
75.0,48.31,1.0,1.0,+- 0.01,,,
