"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
302.15,12.727,0.0009,0.00128,,,,
302.15,12.79,0.01737,0.0247,,,,
302.15,12.92,0.03466,0.04929,,,,
302.15,13.071,0.05629,0.08004,,,,
302.15,13.674,0.14684,0.20803,,,,
302.15,14.247,0.22816,0.32052,,,,
302.15,14.821,0.29549,0.41061,,,,
302.15,15.243,0.34278,0.47168,,,,
302.15,15.655,0.3844,0.5236,,,,
302.15,16.077,0.42059,0.5672,,,,
302.15,16.449,0.45604,0.60838,,,,
302.15,16.947,0.49382,0.65047,,,,
302.15,17.217,0.51468,0.67287,,,,
302.15,18.334,0.58454,0.74327,,,,
302.15,19.057,0.6371,0.79129,,,,
302.15,20.045,0.69687,0.84047,,,,
302.15,21.138,0.75901,0.88534,,,,
302.15,22.603,0.83844,0.93335,,,,
302.15,23.615,0.89247,0.96013,,,,
302.15,24.33,0.93378,0.9775,,,,
302.15,24.93,0.96452,0.98874,,,,
302.15,25.433,0.98814,0.99644,,,,
302.15,25.593,0.99664,0.99901,,,,
