"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
318.15,206.47,0.0,,,,,
318.15,258.97,0.0083,,,,,
318.15,314.47,0.0238,,,,,
318.15,357.61,0.0391,,,,,
318.15,396.4,0.0677,,,,,
318.15,421.18,0.1009,,,,,
318.15,444.22,0.1735,,,,,
318.15,454.39,0.3296,,,,,
318.15,456.2,0.3949,,,,,
318.15,458.37,0.488,,,,,
318.15,459.54,0.5825,,,,,
318.15,460.61,0.6377,,,,,
318.15,460.08,0.6504,,,,,
318.15,455.93,0.7679,,,,,
318.15,447.79,0.8326,,,,,
318.15,441.05,0.8657,,,,,
318.15,337.84,0.9662,,,,,
318.15,329.29,1.0,,,,,
