"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
313.15,0.0105,0.0,0.0,,,,
313.15,1.441,0.049,0.992,,,,
313.15,2.465,0.094,0.996,,,,
313.15,2.65,0.104,0.996,,,,
313.15,3.038,0.125,0.997,,,,
313.15,4.385,0.213,0.998,,,,
313.15,5.063,0.292,0.998,,,,
313.15,5.8,0.387,0.999,,,,
313.15,6.225,0.493,0.999,,,,
313.15,6.593,0.568,0.999,,,,
313.15,6.714,0.675,0.999,,,,
313.15,6.883,0.736,0.999,,,,
313.15,7.243,0.846,0.999,,,,
313.15,7.413,0.913,0.999,,,,
313.15,7.676,0.956,1.0,,,,
313.15,7.705,0.974,1.0,,,,
313.15,7.894,1.0,1.0,,,,
