"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
45,0.5171,0.0,0.0,,,,
45,0.7488,0.027,0.3321,,,,
45,1.2707,0.092,,,,,
45,1.7656,0.1472,0.6671,,,,
45,1.9174,0.1712,,,,,
45,2.0268,0.1909,,,,,
45,2.2049,0.2088,,,,,
45,2.8178,0.2741,0.7803,,,,
45,3.465,0.3661,0.8304,,,,
45,3.55,0.3955,0.8358,,,,
45,3.8357,0.4188,0.8397,,,,
45,4.0713,0.4454,0.837,,,,
45,4.3,0.4754,0.8527,,,,
45,4.65,0.53,0.8973,,,,
45,5.0955,0.5784,0.8775,,,,
45,5.692,0.6632,0.8871,,,,
45,5.9238,0.6916,0.902,,,,
45,6.1968,0.7165,0.9243,,,,
45,6.59,0.7648,0.9026,,,,
45,6.666,0.7698,0.9135,,,,
45,6.95,0.815,0.9061,,,,
45,6.9562,0.8035,0.9228,,,,
45,7.3472,0.845,0.9178,,,,
