"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
388.15,0.2388,0.0,0.0,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.2428,0.045,0.075,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.2464,0.083,0.117,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.2508,0.139,0.187,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.2582,0.235,0.304,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.2593,0.335,0.404,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.2694,0.378,0.455,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.2756,0.454,0.543,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.2793,0.505,0.589,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.2858,0.595,0.673,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.2906,0.655,0.728,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.2966,0.727,0.787,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.2998,0.779,0.837,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.3046,0.833,0.882,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.3081,0.89,0.928,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.313,0.949,0.972,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.3158,0.982,1.0,+-0.02,+-0.0002,+-0.004,+-0.004
388.15,0.3168,1.0,1.0,+-0.02,+-0.0002,+-0.004,+-0.004
