"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
85.0,12.12,0.0,0.0,,,,
85.0,14.26,0.0091,0.1549,,,,
85.0,19.42,0.0318,0.3966,,,,
85.0,23.94,0.0545,0.5229,,,,
85.0,31.1,0.0942,0.6467,,,,
85.0,40.44,0.1639,0.743,,,,
85.0,47.26,0.2308,0.7925,,,,
85.0,53.47,0.322,0.8283,,,,
85.0,55.94,0.3731,0.843,,,,
85.0,60.31,0.4856,0.863,,,,
85.0,63.33,0.6108,0.8795,,,,
85.0,66.33,0.7654,0.9011,,,,
85.0,67.28,0.839,0.9133,,,,
85.0,67.96,0.9108,0.9319,,,,
85.0,68.04,0.9279,0.9381,,,,
85.0,68.07,0.9442,0.9459,,,,
85.0,68.07,0.9629,0.9582,,,,
85.0,68.02,0.9662,0.9609,,,,
85.0,67.64,0.9861,0.9813,,,,
85.0,67.54,1.0,1.0,,,,
