"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
50,291.0,0.041,0.105,+-0.05,,,
50,309.8,0.08,0.194,+-0.05,,,
50,334.3,0.133,0.288,+-0.05,,,
50,349.3,0.171,0.341,+-0.05,,,
50,387.0,0.254,0.461,+-0.05,,,
50,405.2,0.303,0.509,+-0.05,,,
50,432.7,0.371,0.577,+-0.05,,,
50,445.7,0.414,0.614,+-0.05,,,
50,464.4,0.466,0.657,+-0.05,,,
50,483.7,0.548,0.716,+-0.05,,,
50,506.3,0.616,0.766,+-0.05,,,
50,525.1,0.702,0.816,+-0.05,,,
50,540.0,0.759,0.851,+-0.05,,,
50,555.3,0.811,0.884,+-0.05,,,
50,570.7,0.882,0.928,+-0.05,,,
50,581.2,0.927,0.955,+-0.05,,,
50,583.0,0.943,0.965,+-0.05,,,
