"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
298.15,57.532,0.0,0.0,,,,
298.15,57.77,0.034,0.04,,,,
298.15,58.002,0.121,0.084,,,,
298.15,57.066,0.157,0.099,,,,
298.15,56.855,0.219,0.129,,,,
298.15,55.572,0.244,0.141,,,,
298.15,52.348,0.363,0.2,,,,
298.15,52.316,0.367,0.202,,,,
298.15,50.301,0.448,0.236,,,,
298.15,49.533,0.492,0.254,,,,
298.15,46.977,0.571,0.288,,,,
298.15,46.737,0.576,0.291,,,,
298.15,46.159,0.616,0.314,,,,
298.15,42.78,0.671,0.352,,,,
298.15,37.694,0.766,0.444,,,,
298.15,35.88,0.798,0.482,,,,
298.15,33.773,0.842,0.539,,,,
298.15,28.598,0.928,0.668,,,,
298.15,20.065,1.0,1.0,,,,
