"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
283.15,0.233,0.0,0.0,0.002,+-0.003,+-0.002,+-0.002
283.15,0.198,0.1732,0.0702,0.002,+-0.003,+-0.002,+-0.002
283.15,0.182,0.2391,0.1215,0.002,+-0.003,+-0.002,+-0.002
283.15,0.163,0.3224,0.2249,0.002,+-0.003,+-0.002,+-0.002
283.15,0.154,0.3905,0.3533,0.002,+-0.003,+-0.002,+-0.002
283.15,0.153,0.442,0.462,0.002,+-0.003,+-0.002,+-0.002
283.15,0.166,0.5304,0.6511,0.002,+-0.003,+-0.002,+-0.002
283.15,0.203,0.6391,0.8315,0.002,+-0.003,+-0.002,+-0.002
283.15,0.247,0.7355,0.923,0.002,+-0.003,+-0.002,+-0.002
283.15,0.337,0.918,0.9855,0.002,+-0.003,+-0.002,+-0.002
283.15,0.371,1.0,1.0,0.002,+-0.003,+-0.002,+-0.002
