"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
71.9,760,0.021,0.019,,+-0.2,,
72.0,760,0.076,0.069,,+-0.2,,
72.2,760,0.129,0.12,,+-0.2,,
72.4,760,0.185,0.171,,+-0.2,,
72.5,760,0.24,0.223,,+-0.2,,
72.7,760,0.299,0.278,,+-0.2,,
72.9,760,0.358,0.331,,+-0.2,,
73.1,760,0.416,0.388,,+-0.2,,
73.3,760,0.468,0.436,,+-0.2,,
73.3,760,0.477,0.445,,+-0.2,,
73.5,760,0.529,0.494,,+-0.2,,
73.8,760,0.59,0.555,,+-0.2,,
74.1,760,0.654,0.616,,+-0.2,,
74.5,760,0.718,0.682,,+-0.2,,
74.9,760,0.781,0.747,,+-0.2,,
75.4,760,0.846,0.818,,+-0.2,,
75.9,760,0.91,0.89,,+-0.2,,
76.5,760,0.976,0.97,,+-0.2,,
