"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
30,57.9,0.005,0.00441,,+-0.05,+-0.001,+-0.001
30,57.9,0.01,0.00783,,+-0.05,+-0.001,+-0.001
30,57.8,0.02,0.0126,,+-0.05,+-0.001,+-0.001
30,57.5,0.04,0.02,,+-0.05,+-0.001,+-0.001
30,56.8,0.08,0.029,,+-0.05,+-0.001,+-0.001
30,56.4,0.12,0.032,,+-0.05,+-0.001,+-0.001
30,55.7,0.18,0.035,,+-0.05,+-0.001,+-0.001
30,54.1,0.3,0.038,,+-0.05,+-0.001,+-0.001
30,49.7,0.5,0.048,,+-0.05,+-0.001,+-0.001
30,40.3,0.7,0.069,,+-0.05,+-0.001,+-0.001
30,27.0,0.85,0.117,,+-0.05,+-0.001,+-0.001
30,20.6,0.9,0.158,,+-0.05,+-0.001,+-0.001
30,12.9,0.95,0.267,,+-0.05,+-0.001,+-0.001
30,8.5,0.98,0.471,,+-0.05,+-0.001,+-0.001
30,5.61,0.99,0.638,,+-0.05,+-0.001,+-0.001
