"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
348.15,86.631,0.0,0.0,,0.009,,
348.15,86.111,0.0923,0.0818,,0.009,,
348.15,85.222,0.1608,0.132,,0.009,,
348.15,84.093,0.2257,0.1746,,0.009,,
348.15,82.386,0.3034,0.2197,,0.009,,
348.15,81.138,0.3522,0.2463,,0.009,,
348.15,79.785,0.399,0.2726,,0.009,,
348.15,78.461,0.4436,0.2965,,0.009,,
348.15,77.028,0.4857,0.3197,,0.009,,
348.15,72.686,0.6039,0.3918,,0.009,,
348.15,70.595,0.6476,0.4214,,0.009,,
348.15,68.585,0.6865,0.4496,,0.009,,
348.15,65.962,0.7336,0.488,,0.009,,
348.15,63.336,0.7745,0.5279,,0.009,,
348.15,60.823,0.8096,0.5673,,0.009,,
348.15,57.182,0.8543,0.6278,,0.009,,
348.15,53.334,0.8954,0.6988,,0.009,,
348.15,50.142,0.9257,0.763,,0.009,,
348.15,47.631,0.9478,0.8197,,0.009,,
348.15,43.328,0.982,0.929,,0.009,,
348.15,40.886,1.0,1.0,,0.009,,
