"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
373.15,7.454,0.0,,+-0.01,+-0.003,,
373.15,7.44,0.0,,+-0.01,+-0.003,,
373.15,7.638,0.053,,+-0.01,+-0.003,,
373.15,7.982,0.142,,+-0.01,+-0.003,,
373.15,8.366,0.2463,,+-0.01,+-0.003,,
373.15,8.772,0.3626,,+-0.01,+-0.003,,
373.15,9.079,0.4499,,+-0.01,+-0.003,,
373.15,9.398,0.5504,,+-0.01,+-0.003,,
373.15,9.234,0.4962,,+-0.01,+-0.003,,
373.15,9.402,0.5517,,+-0.01,+-0.003,,
373.15,9.703,0.6547,,+-0.01,+-0.003,,
373.15,9.973,0.7525,,+-0.01,+-0.003,,
373.15,10.24,0.852,,+-0.01,+-0.003,,
373.15,10.516,0.9583,,+-0.01,+-0.003,,
373.15,10.623,1.0,,+-0.01,+-0.003,,
