"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-210.0,0.5,0.0,0.0,0-0.1%,0-1%,0-1%,0-1%
-210.0,51.2,0.01882,0.98645,0-0.1%,0-1%,0-1%,0-1%
-210.0,100.0,0.0387,0.99164,0-0.1%,0-1%,0-1%,0-1%
-210.0,150.0,0.0579,0.99338,0-0.1%,0-1%,0-1%,0-1%
-210.0,200.0,0.0776,0.99409,0-0.1%,0-1%,0-1%,0-1%
-210.0,300.0,0.1192,0.99444,0-0.1%,0-1%,0-1%,0-1%
-210.0,400.0,0.1637,0.9942,0-0.1%,0-1%,0-1%,0-1%
-210.0,500.0,0.212,0.99308,0-0.1%,0-1%,0-1%,0-1%
-210.0,1002.0,0.374,0.96216,0-0.1%,0-1%,0-1%,0-1%
-210.0,1000.0,0.3897,0.95515,0-0.1%,0-1%,0-1%,0-1%
