"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
115,400,0.0102,0.1864,+-0.5,1,,
115,400,0.0099,0.1856,+-0.5,1,,
115,400,0.0103,0.1864,+-0.5,1,,
115,400,0.0103,0.1854,+-0.5,1,,
115,602,0.0256,0.3724,+-0.5,1,,
115,602,0.0247,0.3679,+-0.5,1,,
115,602,0.0249,0.3696,+-0.5,1,,
115,602,0.025,0.3675,+-0.5,1,,
115,602,0.0259,,+-0.5,1,,
115,801,0.0437,0.4734,+-0.5,1,,
115,801,0.044,0.4625,+-0.5,1,,
115,801,0.0433,0.465,+-0.5,1,,
115,801,0.0437,0.4838,+-0.5,1,,
115,1009,0.0641,0.5562,+-0.5,1,,
115,1009,0.057,0.5513,+-0.5,1,,
115,1009,0.0622,0.5493,+-0.5,1,,
115,1009,0.055,0.5527,+-0.5,1,,
115,1009,0.0603,,+-0.5,1,,
115,1200,0.0729,0.6109,+-0.5,1,,
115,1200,0.0716,0.6079,+-0.5,1,,
115,1200,,0.6139,+-0.5,1,,
115,1402,0.0885,0.6498,+-0.5,1,,
115,1402,0.0909,0.6458,+-0.5,1,,
115,1402,0.077,0.651,+-0.5,1,,
115,1402,0.0875,,+-0.5,1,,
115,1605,0.0964,0.6783,+-0.5,1,,
115,1605,0.0949,0.676,+-0.5,1,,
115,1605,0.0974,0.6769,+-0.5,1,,
115,1803,0.1095,0.7008,+-0.5,1,,
115,1803,0.1017,0.6973,+-0.5,1,,
115,1803,0.114,0.6998,+-0.5,1,,
115,2005,0.1156,0.7197,+-0.5,1,,
115,2005,0.1207,0.7264,+-0.5,1,,
115,2005,0.1173,0.715,+-0.5,1,,
115,2005,,0.7192,+-0.5,1,,
