"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
75,169.5,0.0,0.0,,,,
75,172.0,0.0031,0.0186,,,,
75,183.8,0.0154,0.0886,,,,
75,194.6,0.0269,0.1473,,,,
75,212.1,0.0447,0.2291,,,,
75,231.0,0.064,0.3015,,,,
75,256.9,0.0918,0.3869,,,,
75,282.6,0.1201,0.4574,,,,
75,315.5,0.1595,0.5336,,,,
75,348.7,0.2031,0.5941,,,,
75,376.6,0.2409,0.6379,,,,
75,399.5,0.278,0.671,,,,
75,421.2,0.3083,0.6966,,,,
75,443.2,0.348,0.7234,,,,
75,483.3,0.4254,0.7669,,,,
75,507.3,0.4705,0.7907,,,,
75,530.4,0.5147,0.8125,,,,
75,590.0,0.6632,0.877,,,,
75,610.0,0.7141,0.8951,,,,
75,628.2,0.7647,0.914,,,,
75,648.7,0.815,0.932,,,,
75,663.4,0.8602,0.9477,,,,
75,673.25,0.8909,0.9585,,,,
75,685.05,0.9238,0.971,,,,
75,711.0,1.0,1.0,,,,
