"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-75.0,6.352,0.0,0.0,0.1%,0.5%,,
-75.0,27.5,0.0205,0.7669,0.1%,0.5%,,
-75.0,51.5,0.0443,0.8706,0.1%,0.5%,,
-75.0,100.0,0.0899,0.9288,0.1%,0.5%,,
-75.0,150.0,0.1358,0.9505,0.1%,0.5%,,
-75.0,300.0,0.2709,0.9698,0.1%,0.5%,,
-75.0,400.0,0.3656,0.9741,0.1%,0.5%,,
-75.0,500.0,0.458,0.976,0.1%,0.5%,,
-75.0,600.0,0.5563,0.9767,0.1%,0.5%,,
-75.0,700.0,0.6555,0.9755,0.1%,0.5%,,
-75.0,800.0,0.7573,0.9726,0.1%,0.5%,,
-75.0,900.0,0.86,0.9646,0.1%,0.5%,,
-75.0,939.0,0.9053,0.9519,0.1%,0.5%,,
-75.0,944.0,0.9469,0.9469,0.1%,0.5%,,
