"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
278.15,2.878,0.0,0.0,0.01,,0.0003,0.0003
278.15,3.11,0.0637,0.1379,0.01,,0.0003,0.0003
278.15,3.29,0.1377,0.2033,0.01,,0.0003,0.0003
278.15,3.308,0.1751,0.2249,0.01,,0.0003,0.0003
278.15,3.312,0.2096,0.2409,0.01,,0.0003,0.0003
278.15,3.306,0.2922,0.2699,0.01,,0.0003,0.0003
278.15,3.316,0.357,0.2858,0.01,,0.0003,0.0003
278.15,3.248,0.4682,0.3163,0.01,,0.0003,0.0003
278.15,3.225,0.5165,0.3287,0.01,,0.0003,0.0003
278.15,3.142,0.6011,0.3559,0.01,,0.0003,0.0003
278.15,2.798,0.7656,0.4459,0.01,,0.0003,0.0003
278.15,2.604,0.8334,0.5041,0.01,,0.0003,0.0003
278.15,2.142,0.9207,0.6583,0.01,,0.0003,0.0003
278.15,1.519,1.0,1.0,0.01,,0.0003,0.0003
