"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
30.0,615.46,0.0,0.0,+-0.002,0.02%,,
30.0,595.25,0.1,0.0028,+-0.002,0.02%,,
30.0,580.5,0.2,0.00332,+-0.002,0.02%,,
30.0,564.72,0.3,0.00369,+-0.002,0.02%,,
30.0,543.41,0.4,0.00411,+-0.002,0.02%,,
30.0,513.81,0.5,0.00462,+-0.002,0.02%,,
30.0,472.43,0.6,0.00535,+-0.002,0.02%,,
30.0,411.79,0.7,0.00654,+-0.002,0.02%,,
30.0,322.13,0.8,0.00895,+-0.002,0.02%,,
30.0,262.39,0.85,0.01139,+-0.002,0.02%,,
30.0,190.66,0.9,0.01626,+-0.002,0.02%,,
30.0,105.45,0.95,0.03047,+-0.002,0.02%,,
30.0,46.47,0.98,0.07064,+-0.002,0.02%,,
30.0,25.28,0.99,0.1308,+-0.002,0.02%,,
30.0,3.33,1.0,1.0,+-0.002,0.02%,,
