"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
60.6,400,1.0,1.0,+-0.15,+-0.6,,
60.0,400,0.953,0.931,+-0.15,+-0.6,,
59.2,400,0.87,0.83,+-0.15,+-0.6,,
58.5,400,0.799,0.743,+-0.15,+-0.6,,
57.8,400,0.691,0.645,+-0.15,+-0.6,,
57.5,400,0.627,0.588,+-0.15,+-0.6,,
57.5,400,0.548,0.521,+-0.15,+-0.6,,
57.4,400,0.519,0.502,+-0.15,+-0.6,,
57.4,400,0.461,0.461,+-0.15,+-0.6,,
57.1,400,0.459,0.459,+-0.15,+-0.6,,
57.4,400,0.407,0.415,+-0.15,+-0.6,,
57.7,400,0.389,0.404,+-0.15,+-0.6,,
57.5,400,0.331,0.361,+-0.15,+-0.6,,
58.1,400,0.219,0.271,+-0.15,+-0.6,,
58.8,400,0.134,0.192,+-0.15,+-0.6,,
59.4,400,0.063,0.108,+-0.15,+-0.6,,
60.0,400,0.037,0.07,+-0.15,+-0.6,,
60.6,400,0.0,0.0,+-0.15,+-0.6,,
