"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
85,202,0.0041,0.8103,+-0.5,1,,
85,202,0.0037,0.8095,+-0.5,1,,
85,202,0.0039,0.8067,+-0.5,1,,
85,202,0.0039,,+-0.5,1,,
85,404,,0.8988,+-0.5,1,,
85,404,,0.8969,+-0.5,1,,
85,404,,0.9014,+-0.5,1,,
85,604,0.011,0.9282,+-0.5,1,,
85,604,0.0102,0.9281,+-0.5,1,,
85,604,0.0101,0.9284,+-0.5,1,,
85,604,0.0096,,+-0.5,1,,
85,807,0.0151,0.9473,+-0.5,1,,
85,807,0.0147,0.9429,+-0.5,1,,
85,807,0.0146,0.9441,+-0.5,1,,
85,807,,0.9443,+-0.5,1,,
85,1002,0.0177,0.9513,+-0.5,1,,
85,1002,0.0171,0.95,+-0.5,1,,
85,1002,0.0178,0.9497,+-0.5,1,,
85,1002,0.0172,,+-0.5,1,,
85,1202,0.022,0.958,+-0.5,1,,
85,1202,0.0219,0.9574,+-0.5,1,,
85,1202,0.023,0.958,+-0.5,1,,
85,1396,0.0247,0.964,+-0.5,1,,
85,1396,0.025,0.9632,+-0.5,1,,
85,1396,0.0248,0.9607,+-0.5,1,,
85,1610,0.029,0.9624,+-0.5,1,,
85,1610,0.029,0.9627,+-0.5,1,,
85,1800,0.0316,0.9648,+-0.5,1,,
85,1800,0.0305,0.9657,+-0.5,1,,
85,1800,0.0346,0.9654,+-0.5,1,,
85,1800,0.0318,0.9659,+-0.5,1,,
85,1800,0.0346,0.9649,+-0.5,1,,
85,1999,0.0354,0.9689,+-0.5,1,,
85,1999,0.0359,0.968,+-0.5,1,,
85,1999,0.0365,0.9679,+-0.5,1,,
