"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
82.5,760,0.06,0.085,+-0.1,+-0.1,+-0.0005,+-0.0005
82.1,760,0.0825,0.116,+-0.1,+-0.1,+-0.0005,+-0.0005
81.5,760,0.1165,0.157,+-0.1,+-0.1,+-0.0005,+-0.0005
81.0,760,0.15,0.1995,+-0.1,+-0.1,+-0.0005,+-0.0005
80.4,760,0.1975,0.2545,+-0.1,+-0.1,+-0.0005,+-0.0005
80.1,760,0.242,0.29,+-0.1,+-0.1,+-0.0005,+-0.0005
79.9,760,0.2725,0.32,+-0.1,+-0.1,+-0.0005,+-0.0005
79.5,760,0.3065,0.3555,+-0.1,+-0.1,+-0.0005,+-0.0005
79.4,760,0.3375,0.384,+-0.1,+-0.1,+-0.0005,+-0.0005
79.2,760,0.397,0.428,+-0.1,+-0.1,+-0.0005,+-0.0005
79.2,760,0.4425,0.467,+-0.1,+-0.1,+-0.0005,+-0.0005
79.1,760,0.485,0.496,+-0.1,+-0.1,+-0.0005,+-0.0005
79.1,760,0.51,0.515,+-0.1,+-0.1,+-0.0005,+-0.0005
79.1,760,0.5635,0.5545,+-0.1,+-0.1,+-0.0005,+-0.0005
79.1,760,0.5875,0.57,+-0.1,+-0.1,+-0.0005,+-0.0005
79.3,760,0.651,0.6225,+-0.1,+-0.1,+-0.0005,+-0.0005
79.5,760,0.701,0.6595,+-0.1,+-0.1,+-0.0005,+-0.0005
79.8,760,0.7315,0.691,+-0.1,+-0.1,+-0.0005,+-0.0005
79.9,760,0.7525,0.706,+-0.1,+-0.1,+-0.0005,+-0.0005
80.4,760,0.815,0.766,+-0.1,+-0.1,+-0.0005,+-0.0005
81.5,760,0.9025,0.8675,+-0.1,+-0.1,+-0.0005,+-0.0005
82.1,760,0.9495,0.924,+-0.1,+-0.1,+-0.0005,+-0.0005
