"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
30.0,20.0,0.822,,+-0.1,+-0.3,,
30.0,26.5,0.763,,+-0.1,+-0.3,,
30.0,45.2,0.519,,+-0.1,+-0.3,,
30.0,50.0,0.441,,+-0.1,+-0.3,,
30.0,54.0,0.321,,+-0.1,+-0.3,,
30.0,59.2,0.207,,+-0.1,+-0.3,,
30.0,61.5,0.134,,+-0.1,+-0.3,,
30.0,62.9,0.093,,+-0.1,+-0.3,,
30.0,63.8,0.08,,+-0.1,+-0.3,,
30.0,66.9,0.064,,+-0.1,+-0.3,,
30.0,66.5,,0.058,+-0.1,+-0.3,,
30.0,66.0,,0.043,+-0.1,+-0.3,,
30.0,63.1,,0.037,+-0.1,+-0.3,,
30.0,57.5,,0.014,+-0.1,+-0.3,,
