"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
75,182.3,0.0033,0.1907,+-0.03,+-0.05,,
75,221.8,0.0103,0.3379,+-0.03,+-0.05,,
75,363.2,0.03,0.6054,+-0.03,+-0.05,,
75,498.9,0.0659,0.7178,+-0.03,+-0.05,,
75,611.8,0.1595,0.7762,+-0.03,+-0.05,,
75,642.1,0.229,0.7867,+-0.03,+-0.05,,
75,662.0,0.3022,0.7993,+-0.03,+-0.05,,
75,674.9,0.3734,0.8053,+-0.03,+-0.05,,
75,687.3,0.477,0.8126,+-0.03,+-0.05,,
75,693.6,0.5557,0.8167,+-0.03,+-0.05,,
75,701.1,0.6558,0.8224,+-0.03,+-0.05,,
75,704.5,0.7163,0.8303,+-0.03,+-0.05,,
75,709.3,0.789,0.8409,+-0.03,+-0.05,,
75,712.1,0.8639,0.8589,+-0.03,+-0.05,,
75,710.9,0.8909,0.8712,+-0.03,+-0.05,,
75,707.3,0.9245,0.8916,+-0.03,+-0.05,,
75,706.3,0.9292,0.8946,+-0.03,+-0.05,,
75,689.9,0.9721,0.943,+-0.03,+-0.05,,
75,683.3,0.9832,0.96,+-0.03,+-0.05,,
