"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
343.15,0.0429,0.0,0.0,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.0465,0.002,0.056,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.06,0.028,0.32,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.11,0.099,0.662,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.2177,0.249,0.843,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.2821,0.347,0.895,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.3513,0.456,0.935,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.4268,0.576,0.962,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.4784,0.635,0.971,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.5529,0.754,0.984,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.6242,0.856,0.993,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.7013,0.958,0.995,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.7247,1.0,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
