"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
303.2,7.01,1.0,1.0,+-0.1,+-0.01,+-0.002,+-0.001
303.2,7.8,0.962,0.8428,+-0.1,+-0.01,+-0.002,+-0.001
303.2,8.5,0.8717,0.6151,+-0.1,+-0.01,+-0.002,+-0.001
303.2,11.75,0.7491,0.4016,+-0.1,+-0.01,+-0.002,+-0.001
303.2,17.75,0.5757,0.2397,+-0.1,+-0.01,+-0.002,+-0.001
303.2,25.0,0.4315,0.163,+-0.1,+-0.01,+-0.002,+-0.001
303.2,32.49,0.3044,0.1095,+-0.1,+-0.01,+-0.002,+-0.001
303.2,39.2,0.1986,0.0622,+-0.1,+-0.01,+-0.002,+-0.001
303.2,47.2,0.0907,0.0373,+-0.1,+-0.01,+-0.002,+-0.001
303.2,54.76,0.0,0.0,+-0.1,+-0.01,+-0.002,+-0.001
