"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
255.38,3.77,0.054,0.3198,+- 0.02,0.1%,,
255.38,8.08,0.254,0.7147,+- 0.02,0.1%,,
255.38,11.27,0.4,0.8169,+- 0.02,0.1%,,
255.38,11.82,0.425,0.8294,+- 0.02,0.1%,,
255.38,12.67,0.463,0.8466,+- 0.02,0.1%,,
255.38,12.82,0.4702,0.8495,+- 0.02,0.1%,,
255.38,17.09,0.6565,0.9127,+- 0.02,0.1%,,
255.38,19.37,0.7505,0.9377,+- 0.02,0.1%,,
255.38,24.78,0.949,0.9865,+- 0.02,0.1%,,
