"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
70.6,20,0.872,0.84,+-0.1%,,+-0.3%,+-0.3%
70.0,20,0.9,0.857,+-0.1%,,+-0.3%,+-0.3%
71.5,20,0.714,0.801,+-0.1%,,+-0.3%,+-0.3%
68.9,20,0.756,0.815,+-0.1%,,+-0.3%,+-0.3%
71.7,20,0.329,0.726,+-0.1%,,+-0.3%,+-0.3%
69.4,20,0.426,0.74,+-0.1%,,+-0.3%,+-0.3%
82.7,20,0.059,0.306,+-0.1%,,+-0.3%,+-0.3%
86.5,20,0.007,0.041,+-0.1%,,+-0.3%,+-0.3%
