"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
335.44,97.91,0.025,,0.25,0.4,0.003,
340.51,95.81,0.025,,0.25,0.4,0.003,
348.05,93.0,0.025,,0.25,0.4,0.003,
358.96,89.4,0.025,,0.25,0.4,0.003,
369.21,86.3,0.025,,0.25,0.4,0.003,
380.33,83.25,0.025,,0.25,0.4,0.003,
391.12,80.5,0.025,,0.25,0.4,0.003,
401.79,78.05,0.025,,0.25,0.4,0.003,
414.04,75.29,0.025,,0.25,0.4,0.003,
422.78,73.49,0.025,,0.25,0.4,0.003,
437.28,70.49,0.025,,0.25,0.4,0.003,
449.58,68.09,0.025,,0.25,0.4,0.003,
455.27,66.99,0.025,,0.25,0.4,0.003,
