"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
99.6,36.3,0.0027,0.577,+-0.1,+-0.1%,+-0.005,+-0.005
99.6,65.3,0.0055,0.757,+-0.1,+-0.1%,+-0.005,+-0.005
99.6,113.0,0.011,0.856,+-0.1,+-0.1%,+-0.005,+-0.005
99.6,119.0,0.02,0.913,+-0.1,+-0.1%,+-0.005,+-0.005
99.6,310.0,0.031,0.94,+-0.1,+-0.1%,+-0.005,+-0.005
99.6,421.0,0.043,0.95,+-0.1,+-0.1%,+-0.005,+-0.005
99.6,599.0,0.061,0.96,+-0.1,+-0.1%,+-0.005,+-0.005
99.6,922.0,0.095,0.968,+-0.1,+-0.1%,+-0.005,+-0.005
99.6,1222.0,0.125,0.97,+-0.1,+-0.1%,+-0.005,+-0.005
99.6,1526.0,0.155,0.97,+-0.1,+-0.1%,+-0.005,+-0.005
99.6,1822.0,0.185,0.969,+-0.1,+-0.1%,+-0.005,+-0.005
99.6,2222.0,0.223,0.967,+-0.1,+-0.1%,+-0.005,+-0.005
99.6,2624.0,0.258,0.964,+-0.1,+-0.1%,+-0.005,+-0.005
99.6,3010.0,0.288,0.961,+-0.1,+-0.1%,+-0.005,+-0.005
