"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
323.15,6.667,0.0,0.0,+-0.02,0.02,+-0.005,+-0.005
323.15,10.902,,0.4818,+-0.02,0.02,+-0.005,+-0.005
323.15,11.39,0.266,0.5709,+-0.02,0.02,+-0.005,+-0.005
323.15,11.797,0.3038,0.6038,+-0.02,0.02,+-0.005,+-0.005
323.15,12.03,0.4477,,+-0.02,0.02,+-0.005,+-0.005
323.15,12.16,0.4619,0.6332,+-0.02,0.02,+-0.005,+-0.005
323.15,12.138,0.4252,0.6554,+-0.02,0.02,+-0.005,+-0.005
323.15,12.215,0.5277,0.6777,+-0.02,0.02,+-0.005,+-0.005
323.15,12.232,0.5404,0.6509,+-0.02,0.02,+-0.005,+-0.005
323.15,12.228,0.5893,0.6463,+-0.02,0.02,+-0.005,+-0.005
323.15,12.25,0.6136,0.6688,+-0.02,0.02,+-0.005,+-0.005
323.15,12.278,0.7365,0.6088,+-0.02,0.02,+-0.005,+-0.005
323.15,12.27,0.8232,0.695,+-0.02,0.02,+-0.005,+-0.005
323.15,12.25,0.8303,0.7035,+-0.02,0.02,+-0.005,+-0.005
323.15,12.232,0.8372,0.6554,+-0.02,0.02,+-0.005,+-0.005
323.15,12.17,0.8475,0.6733,+-0.02,0.02,+-0.005,+-0.005
323.15,12.125,0.8254,,+-0.02,0.02,+-0.005,+-0.005
323.15,12.132,0.8661,0.6899,+-0.02,0.02,+-0.005,+-0.005
323.15,12.08,0.8855,0.6759,+-0.02,0.02,+-0.005,+-0.005
323.15,11.943,0.9085,0.6823,+-0.02,0.02,+-0.005,+-0.005
323.15,11.73,0.8727,,+-0.02,0.02,+-0.005,+-0.005
323.15,11.4,0.933,,+-0.02,0.02,+-0.005,+-0.005
323.15,10.36,0.9758,0.7965,+-0.02,0.02,+-0.005,+-0.005
323.15,9.388,0.986,0.8902,+-0.02,0.02,+-0.005,+-0.005
323.15,7.95,0.9952,0.9647,+-0.02,0.02,+-0.005,+-0.005
323.15,7.637,1.0,1.0,+-0.02,0.02,+-0.005,+-0.005
