"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
131.8,400,..044,0.012,,,,
133.5,400,.095,0.034,,,,
135.0,400,.135,0.056,,,,
136.8,400,.190,0.097,,,,
137.6,400,.218,0.124,,,,
138.3,400,.240,0.147,,,,
139.2,400,.268,0.185,,,,
139.5,400,.272,0.195,,,,
139.7,400,.291,0.222,,,,
140.5,400,.331,0.286,,,,
141.0,400,.367,0.355,,,,
140.6,400,.397,0.4431,,,,
139.5,400,.439,0.534,,,,
136.6,400,.501,0.692,,,,
135.5,400,.510,0.717,,,,
130.7,400,.565,0.824,,,,
123.2,400,.630,0.907,,,,
116.7,400,.676,0.952,,,,
107.1,400,.743,0.989,,,,
98.1,400,.807,0.998,,,,
90.0,400,.877,0.999,,,,
85.1,400,.930,0.999,,,,
