"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
150,13.6,0.0,0.0,0.1,0.1%,0.008,0.008
150,25.0,0.026,0.486,0.1,0.1%,0.008,0.008
150,50.0,0.073,0.758,0.1,0.1%,0.008,0.008
150,75.0,0.113,0.842,0.1,0.1%,0.008,0.008
150,100.0,0.15,0.881,0.1,0.1%,0.008,0.008
150,150.0,0.215,0.918,0.1,0.1%,0.008,0.008
150,200.0,0.271,0.936,0.1,0.1%,0.008,0.008
150,300.0,0.365,0.953,0.1,0.1%,0.008,0.008
150,400.0,0.443,0.962,0.1,0.1%,0.008,0.008
150,500.0,0.515,0.968,0.1,0.1%,0.008,0.008
150,600.0,0.586,0.972,0.1,0.1%,0.008,0.008
150,700.0,0.658,0.974,0.1,0.1%,0.008,0.008
150,800.0,0.735,0.975,0.1,0.1%,0.008,0.008
150,900.0,0.829,0.97,0.1,0.1%,0.008,0.008
150,938.0,0.92,0.92,0.1,0.1%,0.008,0.008
