"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
172.3,760,0.124,0.421,+-0.18,,,
164.8,760,0.23,0.576,+-0.18,,,
162.1,760,0.402,0.705,+-0.18,,,
156.7,760,0.535,0.77,+-0.18,,,
153.1,760,0.642,0.819,+-0.18,,,
151.0,760,0.729,0.859,+-0.18,,,
148.2,760,0.802,0.891,+-0.18,,,
147.0,760,0.856,0.92,+-0.18,,,
147.1,760,0.915,0.947,+-0.18,,,
