"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
98.3,760,0.0,0.0,+-0.2,+-0.1,+-0.004,+-0.004
96.1,760,0.0033,0.06,+-0.2,+-0.1,+-0.004,+-0.004
93.7,760,0.027,0.141,+-0.2,+-0.1,+-0.004,+-0.004
89.4,760,0.074,0.285,+-0.2,+-0.1,+-0.004,+-0.004
86.4,760,0.122,0.3755,+-0.2,+-0.1,+-0.004,+-0.004
82.25,760,0.23,0.495,+-0.2,+-0.1,+-0.004,+-0.004
79.95,760,0.354,0.572,+-0.2,+-0.1,+-0.004,+-0.004
80.05,760,0.369,0.578,+-0.2,+-0.1,+-0.004,+-0.004
78.35,760,0.475,0.632,+-0.2,+-0.1,+-0.004,+-0.004
78.2,760,0.507,0.645,+-0.2,+-0.1,+-0.004,+-0.004
77.45,760,0.6115,0.691,+-0.2,+-0.1,+-0.004,+-0.004
77.0,760,0.693,0.727,+-0.2,+-0.1,+-0.004,+-0.004
77.15,760,0.706,0.736,+-0.2,+-0.1,+-0.004,+-0.004
77.0,760,0.765,0.7685,+-0.2,+-0.1,+-0.004,+-0.004
77.25,760,0.864,0.832,+-0.2,+-0.1,+-0.004,+-0.004
78.1,760,0.932,0.908,+-0.2,+-0.1,+-0.004,+-0.004
78.7,760,0.973,0.954,+-0.2,+-0.1,+-0.004,+-0.004
79.05,760,0.994,0.987,+-0.2,+-0.1,+-0.004,+-0.004
79.45,760,1.0,1.0,+-0.2,+-0.1,+-0.004,+-0.004
